dust,NO2,CO2,SO2,AQI
81.4,20.5,0.12,15.24,184
78.32,26,0.14,26.96,197
88.76,30.85,0.11,33.59,198
64.18,28.07,0.09,19,188
72.47,23.2,0.16,10.55,173
69.8,20.17,0.12,14.07,165
73.96,19.29,0.1,13.9,191
89.9,26.19,0.1,19.37,191
87.14,21.31,0.15,11.41,227
84.64,26.98,0.18,9.84,168
88.36,20.23,0.12,14.02,198
96.83,25.65,0.11,16.54,201
117.46,41.1,0.13,28.79,252
122.88,54.87,0.27,22.97,310
74.28,44.97,0.09,21.9,196
50.32,33.85,0.1,13.65,132
58.47,41.64,0.16,18.37,147
89.35,42.1,0.24,7.42,179
64.42,34.78,0.15,5.81,145
69.4,29.97,0.14,5.8,115
71.07,25,0.1,8.33,140
79.76,40.92,0.17,8.51,156
108.06,47.05,0.08,16.05,225
100.75,53.94,0.11,14.05,251
106.25,43.09,0.13,15.45,228
83.79,47.47,0.3,13.35,223
79.98,49.55,0.14,13.58,170
76.27,56,0.15,29.88,165
86.5,42,0.15,11.85,159
100.62,47.68,0.22,10.85,232
110.73,31.06,0.1,12.23,242
107.7,43.54,0.17,18.07,274
104.81,63.48,0.23,17.01,259
89.95,64.53,0.27,15.52,225
74.58,46.65,0.17,9.47,177
56.68,33.26,0.1,8.26,120
61.03,39.5,0.08,11.45,120
59.03,23.36,0.09,26.05,120
61.88,23.14,0.09,12.81,132
71.57,39.99,0.09,16.82,136
92.44,53.79,0.11,16.93,182
92.9,56.39,0.08,23.11,222
85.15,61.55,0.07,11.86,230
81.47,46.9,0.07,9.63,224
81.58,34.93,0.09,12.81,217
79.56,37.58,0.05,17.77,230
87.43,37.31,0.1,13.4,229
87.33,42.52,0.08,35.39,229
110.39,52.24,0.04,36.01,235
77.51,36.41,0.05,14.36,214
86.96,28.32,0.05,4.83,186
76.29,21.35,0.05,8.75,172
67.06,20.25,0.06,4.7,138
68.34,26.26,0.06,6.43,125
66.28,45.13,0.05,7.21,132
64.98,45.4,0.06,8.83,111
75.46,56.53,0.13,30.48,137
81.58,38.15,0.05,11.04,172
78.27,45.36,0.06,10.32,160
79.01,45.43,0.06,10.18,163
77.98,44.96,0.06,7.22,165
77.96,59.92,0.06,31.01,139
79.04,43.61,0.08,8.67,176
77.78,43.84,0.09,7.62,162
76.48,33.37,0.06,7.49,160
74.2,35.82,0.07,12.16,142
78.23,45.76,0.05,12.45,172
68.53,61.52,0.04,23.68,134
62.08,62.18,0.05,8.97,136
50.64,45.52,0.07,10.61,130
44.21,34.37,0.07,5.86,111
50.71,35.16,0.06,8.16,117
42.27,30.69,0.66,8.99,102
39.41,28.53,0.81,5.86,108
50.56,37.27,0.97,5.25,99
50.54,26.96,0.9,17.9,121
26.22,20.1,0.61,8.25,86
31.83,16.83,0.61,5.87,57
70.26,11.87,0.62,7.29,107
59.47,12.85,0.68,7.62,118
58.71,13.88,0.86,6.89,110
56.29,16.71,0.95,12.91,114
50.41,25.6,0.69,11.81,111
57.53,25.03,0.78,25.39,117
43.82,16.01,0.67,17.62,107
42.71,17.35,0.49,9.53,87
54.73,12.79,0.58,8.21,89
50.91,16.33,0.64,10.34,97
38.5,16.82,0.58,11.02,100
32.21,17.33,0.6,11.81,105
35.36,17.75,0.85,10.87,114
59.65,19.14,0.7,10.82,116
39.52,21.18,0.81,15.02,116
43.08,19.02,0.79,22.7,108
38.1,22.21,0.79,13.89,100
33.08,18.83,0.72,8.98,92
29.7,17.33,0.65,9.71,80
38.67,22.81,0.66,12.63,88
30.04,24.74,0.78,8.98,83
39.72,26.29,0.81,9.68,100
38.21,19.03,0.75,8.03,81
58.31,28.85,1.03,10.21,112
62.49,22.65,0.91,12.68,113
49.04,19.92,0.64,6.82,105
41.67,13.08,0.78,8.35,88
32.44,19.07,0.68,7.75,78
26.43,20.82,0.72,9.43,78
25.08,15.22,0.56,8.63,69
26.09,10.42,0.58,11.33,60
49.58,19.05,0.7,12.47,61
43.52,20.43,0.8,10.57,90
39.83,14.37,0.7,8.89,74
36.89,18.83,0.57,7.04,76
52.69,14.44,0.59,16.81,92
46.48,14.79,0.6,15.55,93
44.22,8.53,0.73,9.61,88
39.05,9.86,0.68,7.26,79
30.21,11.29,0.58,13.19,74
31.14,10.36,0.83,14.42,62
24.23,14.33,0.56,9.95,55
22.29,11.27,0.67,8.08,56
25.28,9.65,0.72,8.7,56
24.4,10.84,0.74,7.4,76
23.72,8.86,0.81,6.71,81
26.12,11.71,0.5,6.88,59
12.42,10.28,0.51,5.82,52
15.2,9.26,1.18,6.82,125
25.62,13.88,0.48,7.3,86
40.32,11.3,0.5,7.57,62
13.07,8.59,0.46,6.09,78
16.56,7.25,0.41,6.48,114
19.57,7.72,0.34,5.99,103
27.42,19.38,0.32,6.83,129
31.26,10.78,0.4,7.7,136
28.12,13.18,0.38,7.28,155
18.81,11.7,1.01,5.53,88
18.09,7.26,1,6.14,89
16.86,8.54,0.52,7.12,68
16.46,17.41,0.61,4.72,65
18.4,13.66,0.38,5.51,66
20.31,12.76,0.41,7.54,96
23.99,16.64,0.51,5.01,68
20.36,15.53,0.52,6.62,76
15.08,13.96,0.4,4.9,70
19.42,13.23,0.41,5.6,75
13.93,10.72,0.33,6.52,73
18.29,17.63,0.63,6.53,85
17.25,6.82,0.37,4.65,83
16.89,6.37,0.39,6.75,62
15.95,7.16,0.64,8.77,79
8.68,5.01,0.31,6.29,31
10.45,11.13,0.47,9.94,39
14.48,12.77,0.5,9.81,42
17.96,14.95,0.69,6.51,73
17.42,16.26,0.47,11.83,55
17.79,16.25,0.62,10.42,86
17.74,20.1,0.49,10.98,57
21.78,20.63,0.44,9.64,85
28.31,24.83,0.54,6.69,85
27.1,23.91,0.47,12.6,106
20.21,16.41,0.34,6.74,100
18.52,18.33,0.43,12.46,68
25.59,21.95,0.5,8.64,61
21.79,15.65,0.38,11.1,71
18.47,16.89,0.8,11.49,111
